product_id,title,brand,category,color,size,actual_price,current_price,status,imageurl
RR807,RIBBED JOHNNY COLLAR POLO,rare rabbit,polo,off white,s,2599.00,2599.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/marcelo-mens-polo-offwhite27624_8080021e-6b2a-4933-a5d2-7cff5af8546f.jpg?v=1719483714
RR807,RIBBED JOHNNY COLLAR POLO,rare rabbit,polo,off white,m,2599.00,2599.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/marcelo-mens-polo-offwhite27624_8080021e-6b2a-4933-a5d2-7cff5af8546f.jpg?v=1719483714
RR807,RIBBED JOHNNY COLLAR POLO,rare rabbit,polo,off white,l,2599.00,2599.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/marcelo-mens-polo-offwhite27624_8080021e-6b2a-4933-a5d2-7cff5af8546f.jpg?v=1719483714
RR807,RIBBED JOHNNY COLLAR POLO,rare rabbit,polo,off white,xl,2599.00,2599.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/marcelo-mens-polo-offwhite27624_8080021e-6b2a-4933-a5d2-7cff5af8546f.jpg?v=1719483714
RR807,RIBBED JOHNNY COLLAR POLO,rare rabbit,polo,off white,2xl,2599.00,2599.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/marcelo-mens-polo-offwhite27624_8080021e-6b2a-4933-a5d2-7cff5af8546f.jpg?v=1719483714
RR807,RIBBED JOHNNY COLLAR POLO,rare rabbit,polo,off white,3xl,2599.00,2599.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/marcelo-mens-polo-offwhite27624_8080021e-6b2a-4933-a5d2-7cff5af8546f.jpg?v=1719483714
RR808,TEXTURED JACQUARD POLO,rare rabbit,polo,pastel pink,xs,3499.00,2624.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/mens-polo-pink01310.jpg?v=1708956138
RR808,TEXTURED JACQUARD POLO,rare rabbit,polo,pastel pink,s,3499.00,2624.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/mens-polo-pink01310.jpg?v=1708956138
RR808,TEXTURED JACQUARD POLO,rare rabbit,polo,pastel pink,m,3499.00,2624.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/mens-polo-pink01310.jpg?v=1708956138
RR808,TEXTURED JACQUARD POLO,rare rabbit,polo,pastel pink,l,3499.00,2624.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/mens-polo-pink01310.jpg?v=1708956138
RR808,TEXTURED JACQUARD POLO,rare rabbit,polo,pastel pink,xl,3499.00,2624.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/mens-polo-pink01310.jpg?v=1708956138
RR808,TEXTURED JACQUARD POLO,rare rabbit,polo,pastel pink,2xl,3499.00,2624.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/mens-polo-pink01310.jpg?v=1708956138
RR808,TEXTURED JACQUARD POLO,rare rabbit,polo,pastel pink,3xl,3499.00,2624.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/mens-polo-pink01310.jpg?v=1708956138
RR809,PREMIUM MERCERISED JACQUARD POLO,rare rabbit,polo,green,xs,3699.00,2774.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DAFO-GREEN04480.jpg?v=1706689326
RR809,PREMIUM MERCERISED JACQUARD POLO,rare rabbit,polo,green,s,3699.00,2774.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DAFO-GREEN04480.jpg?v=1706689326
RR809,PREMIUM MERCERISED JACQUARD POLO,rare rabbit,polo,green,m,3699.00,2774.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DAFO-GREEN04480.jpg?v=1706689326
RR809,PREMIUM MERCERISED JACQUARD POLO,rare rabbit,polo,green,l,3699.00,2774.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DAFO-GREEN04480.jpg?v=1706689326
RR809,PREMIUM MERCERISED JACQUARD POLO,rare rabbit,polo,green,xl,3699.00,2774.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DAFO-GREEN04480.jpg?v=1706689326
RR809,PREMIUM MERCERISED JACQUARD POLO,rare rabbit,polo,green,2xl,3699.00,2774.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DAFO-GREEN04480.jpg?v=1706689326
RR809,PREMIUM MERCERISED JACQUARD POLO,rare rabbit,polo,green,3xl,3699.00,2774.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DAFO-GREEN04480.jpg?v=1706689326
RR810,PRINTED PLACKET PLAIN POLO,rare rabbit,polo,dark blue,xs,3499.00,1749.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/CASEA-DK-BLUE5213.jpg?v=1719991535
