product_id,title,brand,category,color,size,actual_price,current_price,status
MT6,Theory Olive 100% Supima Cotton Invisible Stitching Modern Cut,MarchTee,tee,theory-olive,XS,"₹1,800","₹1,500",OUT_OF_STOCK
MT6,Theory Olive 100% Supima Cotton Invisible Stitching Modern Cut,MarchTee,tee,theory-olive,S,"₹1,800","₹1,500",AVAILABLE
MT6,Theory Olive 100% Supima Cotton Invisible Stitching Modern Cut,MarchTee,tee,theory-olive,M,"₹1,800","₹1,500",AVAILABLE
MT6,Theory Olive 100% Supima Cotton Invisible Stitching Modern Cut,MarchTee,tee,theory-olive,L,"₹1,800","₹1,500",AVAILABLE
MT6,Theory Olive 100% Supima Cotton Invisible Stitching Modern Cut,MarchTee,tee,theory-olive,XL,"₹1,800","₹1,500",AVAILABLE
MT6,Theory Olive 100% Supima Cotton Invisible Stitching Modern Cut,MarchTee,tee,theory-olive,2XL,"₹1,800","₹1,500",AVAILABLE
MT6,Theory Olive 100% Supima Cotton Invisible Stitching Modern Cut,MarchTee,tee,theory-olive,3XL,"₹2,300","₹2,000",AVAILABLE
MT7,"Denim Blue <span class=""subcategory-tag"">Mélange</span> 100% Supima Cotton Invisible Stitching Modern Cut",MarchTee,tee,denim-blue,XS,"₹2,300","₹1,800",AVAILABLE
MT7,"Denim Blue <span class=""subcategory-tag"">Mélange</span> 100% Supima Cotton Invisible Stitching Modern Cut",MarchTee,tee,denim-blue,S,"₹2,300","₹1,800",AVAILABLE
MT7,"Denim Blue <span class=""subcategory-tag"">Mélange</span> 100% Supima Cotton Invisible Stitching Modern Cut",MarchTee,tee,denim-blue,M,"₹2,300","₹1,800",AVAILABLE
MT7,"Denim Blue <span class=""subcategory-tag"">Mélange</span> 100% Supima Cotton Invisible Stitching Modern Cut",MarchTee,tee,denim-blue,L,"₹2,300","₹1,800",AVAILABLE
MT7,"Denim Blue <span class=""subcategory-tag"">Mélange</span> 100% Supima Cotton Invisible Stitching Modern Cut",MarchTee,tee,denim-blue,XL,"₹2,300","₹1,800",AVAILABLE
MT7,"Denim Blue <span class=""subcategory-tag"">Mélange</span> 100% Supima Cotton Invisible Stitching Modern Cut",MarchTee,tee,denim-blue,2XL,"₹2,300","₹1,800",AVAILABLE
MT7,"Denim Blue <span class=""subcategory-tag"">Mélange</span> 100% Supima Cotton Invisible Stitching Modern Cut",MarchTee,tee,denim-blue,3XL,"₹2,500","₹2,000",AVAILABLE
MT8,Sky 100% Supima Cotton Invisible Stitching Modern Cut,MarchTee,tee,sky-blue,XS,"₹1,800","₹1,500",AVAILABLE
MT8,Sky 100% Supima Cotton Invisible Stitching Modern Cut,MarchTee,tee,sky-blue,S,"₹1,800","₹1,500",AVAILABLE
MT8,Sky 100% Supima Cotton Invisible Stitching Modern Cut,MarchTee,tee,sky-blue,M,"₹1,800","₹1,500",AVAILABLE
MT8,Sky 100% Supima Cotton Invisible Stitching Modern Cut,MarchTee,tee,sky-blue,L,"₹1,800","₹1,500",AVAILABLE
MT8,Sky 100% Supima Cotton Invisible Stitching Modern Cut,MarchTee,tee,sky-blue,XL,"₹1,800","₹1,500",AVAILABLE
MT8,Sky 100% Supima Cotton Invisible Stitching Modern Cut,MarchTee,tee,sky-blue,2XL,"₹1,800","₹1,500",AVAILABLE
MT8,Sky 100% Supima Cotton Invisible Stitching Modern Cut,MarchTee,tee,sky-blue,3XL,"₹2,300","₹2,000",AVAILABLE
MT9,Pack of 3 Grey + Navy + Black 100% Supima Cotton Modern Cut,MarchTee,tee,core-pack,XS,"₹5,900","₹4,500",AVAILABLE
MT9,Pack of 3 Grey + Navy + Black 100% Supima Cotton Modern Cut,MarchTee,tee,core-pack,S,"₹5,900","₹4,500",AVAILABLE
MT9,Pack of 3 Grey + Navy + Black 100% Supima Cotton Modern Cut,MarchTee,tee,core-pack,M,"₹5,900","₹4,500",AVAILABLE
MT9,Pack of 3 Grey + Navy + Black 100% Supima Cotton Modern Cut,MarchTee,tee,core-pack,L,"₹5,900","₹4,500",AVAILABLE
MT9,Pack of 3 Grey + Navy + Black 100% Supima Cotton Modern Cut,MarchTee,tee,core-pack,XL,"₹5,900","₹4,500",AVAILABLE
MT9,Pack of 3 Grey + Navy + Black 100% Supima Cotton Modern Cut,MarchTee,tee,core-pack,2XL,"₹5,900","₹4,500",AVAILABLE
MT9,Pack of 3 Grey + Navy + Black 100% Supima Cotton Modern Cut,MarchTee,tee,core-pack,3XL,"₹7,100","₹5,000",AVAILABLE
MT10,Midnight Navy 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,midnight-navy,XS,"₹1,500","₹1,500",AVAILABLE
MT10,Midnight Navy 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,midnight-navy,S,"₹1,500","₹1,500",AVAILABLE
MT10,Midnight Navy 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,midnight-navy,M,"₹1,500","₹1,500",AVAILABLE
MT10,Midnight Navy 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,midnight-navy,L,"₹1,500","₹1,500",AVAILABLE
MT10,Midnight Navy 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,midnight-navy,XL,"₹1,500","₹1,500",AVAILABLE
MT10,Midnight Navy 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,midnight-navy,2XL,"₹1,500","₹1,500",AVAILABLE
MT10,Midnight Navy 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,midnight-navy,3XL,"₹2,000","₹2,000",AVAILABLE
MT11,Deep Olive  100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,deep-olive,XS,"₹1,500","₹1,500",AVAILABLE
MT11,Deep Olive  100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,deep-olive,S,"₹1,500","₹1,500",AVAILABLE
MT11,Deep Olive  100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,deep-olive,M,"₹1,500","₹1,500",AVAILABLE
MT11,Deep Olive  100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,deep-olive,L,"₹1,500","₹1,500",AVAILABLE
MT11,Deep Olive  100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,deep-olive,XL,"₹1,500","₹1,500",AVAILABLE
MT11,Deep Olive  100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,deep-olive,2XL,"₹1,500","₹1,500",AVAILABLE
MT11,Deep Olive  100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,deep-olive,3XL,"₹2,000","₹2,000",AVAILABLE
MT12,Classic Black 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,classic-black,XS,"₹1,500","₹1,500",AVAILABLE
MT12,Classic Black 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,classic-black,S,"₹1,500","₹1,500",AVAILABLE
MT12,Classic Black 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,classic-black,M,"₹1,500","₹1,500",AVAILABLE
